title,t-SNE - multiple sets - multiple colors,,,
plot_type,scatter,,,
x_label,Component 1,,,
y_label,Component 2,,,
color,#1abc9c,,#a121dd,
labels,set 1,,set 2,
axis_x,axis_y,axis_x,axis_y,axis_color
43.3788,-17.5524,-40.4417,-12.0145,#1abc9c
10.6184,5.4947,37.7498,21.3444,#a121dd
11.1043,5.54,-30.5138,-1.6809,#121111
38.4774,-5.4119,-42.3011,-29.9781,#1abc9c
24.8802,4.237,-36.6777,-23.4224,#a121dd
33.329,-4.0818,-38.0462,-28.9829,#121112
0.7269,-12.9486,-36.4692,-31.076,#1abc9c
0.7385,-12.9096,-33.1853,-30.5908,#a121dd
33.8414,1.1801,-32.3052,-33.6544,#121113
3.3428,6.9979,-32.5228,-34.9672,#1abc9c
-12.9784,8.9153,42.6037,-34.9907,#a121dd
26.158,4.293,3.3191,-17.575,#121114
43.1851,-19.9153,5.7066,-23.8983,#1abc9c
11.8898,6.0498,1.8687,-16.9584,#a121dd
12.1984,13.0844,31.1829,1.8124,#121115
-9.8279,14.4069,30.6373,3.1556,#1abc9c
29.335,12.7224,18.1244,8.9844,#a121dd
-13.4509,9.2498,19.5129,8.2495,#121116
-12.3734,9.4678,43.5263,5.0151,#1abc9c
22.4977,5.9187,54.0186,-12.8267,#a121dd
-10.6422,9.3766,27.6295,20.5662,#121117
-11.6232,9.4903,13.2077,18.2101,#1abc9c
-9.7731,10.127,26.699,20.8704,#a121dd
-16.9858,5.207,1.7632,28.6582,#121118
-15.8278,5.5619,-13.1251,11.572,#1abc9c
-19.1198,-3.9672,-18.1143,6.9348,#a121dd
-18.7901,-2.6214,-35.8646,16.6543,#121119
-18.8982,-2.9985,6.6987,23.4708,#1abc9c
-18.7301,3.0623,37.9462,19.7398,#a121dd
-18.9649,-3.3915,-26.2992,11.8957,#121120
-16.8205,2.8723,-55.4141,1.4051,#1abc9c
-18.6669,-1.9639,-31.745,19.2719,#a121dd
-16.7271,2.6019,50.5421,5.6503,#121121
-16.782,1.5663,-47.405,-2.6066,#1abc9c
-24.2748,-36.7736,-42.2058,-10.183,#a121dd
-23.749,-35.71,8.6916,37.3518,#121122
-24.9338,-37.1183,-48.3047,-2.6201,#1abc9c
-25.4334,-37.2857,-49.0622,-7.0429,#a121dd
-25.841,-39.3397,-31.0567,6.4316,#121123
-26.1565,-38.8244,-34.0762,-19.9314,#1abc9c
-25.5288,-39.67,-27.6933,1.717,#a121dd
-24.6099,-39.0835,-24.1957,5.7521,#121124
-25.5857,-39.9698,-11.4992,30.5302,#1abc9c
-32.1241,-39.4505,28.2521,25.5243,#a121dd
-33.1554,-39.5992,12.652,36.2462,#121125
42.8225,-39.3335,-31.2799,-4.8101,#1abc9c
30.9152,-11.9495,-42.1256,-29.6352,#a121dd
42.4192,-6.2337,-40.4633,-28.3112,#121126
36.5285,-8.9268,-34.6243,-23.5072,#1abc9c
20.643,5.8827,-34.678,-24.9367,#a121dd
-0.5781,8.0611,-38.1066,-31.7955,#121127
-9.4726,9.6978,-37.1352,-33.8611,#1abc9c
8.9182,8.4512,-37.5448,-32.884,#a121dd
3.4841,7.888,-32.7425,-36.98,#121128
18.5325,7.4712,-33.6755,-38.3979,#1abc9c
6.1613,12.4093,42.0359,-34.8892,#a121dd
21.5091,5.1575,6.1281,-22.3323,#121129
35.6605,-8.0174,1.4763,-17.7779,#1abc9c
3.8124,6.4617,24.3175,18.7115,#a121dd
-12.6579,10.5239,39.6728,8.525,#121130
-17.0741,6.0448,26.3871,21.878,#1abc9c
13.1337,6.3374,7.5208,10.8926,#a121dd
35.8964,-7.8644,19.4478,9.3981,#121131
-5.3127,19.9237,17.2476,10.4071,#1abc9c
-18.0603,5.505,-3.3255,19.7025,#a121dd
39.612,4.992,4.6636,16.2085,#121132
-0.7378,21.4662,36.8744,13.0502,#1abc9c
-16.0431,11.9824,14.1775,28.2157,#a121dd
-18.2874,5.6954,16.6414,13.7578,#121133
-11.8025,10.6701,27.9399,20.4896,#1abc9c
-7.5259,15.4525,1.4155,29.7426,#a121dd
-8.3565,18.7477,-28.0321,18.4178,#121134
-19.1129,3.8654,-33.2355,17.6907,#1abc9c
-44.9886,-22.0804,-32.7771,13.2948,#a121dd
-44.915,-25.6637,19.9513,30.1889,#121135
-41.4431,-23.8775,-38.0317,5.4362,#1abc9c
-45.2875,-25.3194,-38.5995,3.0219,#a121dd
-43.4532,-25.5528,-23.4877,15.5626,#121136
-41.9084,-30.8588,-51.3705,1.7471,#1abc9c
-41.8564,-32.0596,-49.8631,1.921,#a121dd
-38.2426,-30.0853,-46.2951,-11.0704,#121137
-45.7077,-25.2153,-49.9504,-1.7952,#1abc9c
-28.9261,-5.7285,-47.1359,-3.4888,#a121dd
-29.5331,-34.8645,-36.5942,-2.4164,#121138
-29.1513,-36.4022,-38.7005,-7.4017,#1abc9c
-28.0999,-35.3535,-40.8541,-26.9611,#a121dd
-28.457,-38.2027,-28.7266,1.5999,#121139
-29.7256,-37.5889,-30.2372,0.2033,#1abc9c
-27.4503,-40.7898,-16.3159,29.8894,#a121dd
-27.3827,-40.7433,-38.6691,-5.921,#121140
42.5657,-40.6934,-37.9313,-4.8703,#1abc9c
31.0171,-12.0108,-40.4427,-15.1443,#a121dd
27.7649,12.6322,-41.0356,-28.4944,#121141
29.2455,3.2089,-43.1581,-20.1783,#1abc9c
-0.9925,7.0447,-38.8338,-22.3583,#a121dd
-1.9253,6.8058,-33.8646,-23.6283,#121142
-5.1948,6.698,-39.1707,-23.3975,#1abc9c
-16.379,4.3688,-35.5315,-24.7348,#a121dd
14.0011,12.0007,-35.2067,-15.9823,#121143
21.824,4.7884,-35.2586,-30.3113,#1abc9c
11.5051,6.5348,41.6741,-35.7898,#a121dd
7.5693,5.9133,4.3015,-18.4054,#121144
4.2984,6.5377,1.5988,-16.7339,#1abc9c
7.6048,12.2055,-1.3463,18.0965,#a121dd
-11.138,10.9044,-7.2132,13.4067,#121145
-9.8116,11.5189,18.5305,16.6261,#1abc9c
-12.01,12.3044,16.4778,14.5119,#a121dd
13.0276,16.7591,36.3388,13.0093,#121146
-19.1003,9.1172,27.6312,20.1356,#1abc9c
-17.4182,4.7165,-9.323,14.5144,#a121dd
-44.8403,-22.6311,17.2197,17.4563,#121147
-6.1003,19.2794,42.5059,11.8591,#1abc9c
-5.8644,19.9008,10.2416,16.3063,#a121dd
-10.7682,12.1287,10.9993,12.8856,#121148
-19.2479,5.0123,37.3295,18.1029,#1abc9c
-14.0508,18.7887,27.8175,10.3521,#a121dd
-15.898,12.6567,3.9089,30.4534,#121149
-44.6448,-18.6842,-10.1521,15.3169,#1abc9c
-42.6968,-22.9435,-0.5616,33.8953,#a121dd
-43.213,-27.1572,28.3439,27.5392,#121150
-26.9202,-18.4408,-2.3567,33.4349,#1abc9c
-27.6762,-25.3183,-31.4514,18.2537,#a121dd
-35.499,-28.6216,-50.3722,-5.7779,#121151
-40.4992,-24.5922,-41.0759,-16.4004,#1abc9c
-40.8605,-29.3237,-31.9844,-18.0228,#a121dd
-40.0755,-31.504,-30.6266,1.0981,#121152
-29.4498,-5.9418,-38.0849,2.9715,#1abc9c
-26.8898,-4.2147,-47.3089,-6.3942,#a121dd
-34.2375,-34.3648,-37.003,0.1533,#121153
-34.521,-35.7182,-41.9347,-7.482,#1abc9c
-3.9957,17.4217,-45.5796,-18.9001,#a121dd
-27.2068,-5.8367,-37.1981,-7.2977,#121154
-29.4059,-35.9492,-32.7274,-0.0347,#1abc9c
-27.7738,-36.2145,6.5192,38.1512,#a121dd
-27.1052,-6.9745,-14.3922,30.4104,#121155
41.8365,-40.716,-15.3788,29.1288,#1abc9c
25.1307,15.3195,28.6497,26.9499,#a121dd
24.1824,18.7788,-7.0084,34.3037,#121156
52.4823,1.1721,-38.3075,-26.6276,#1abc9c
5.8038,16.554,-40.9641,-27.6966,#a121dd
2.3139,6.6253,-38.1375,-26.4704,#121157
1.7331,6.7205,-37.8504,-27.1467,#1abc9c
-5.7548,7.0942,-34.039,-22.0963,#a121dd
-3.6303,17.0062,-32.1208,-28.2019,#121158
15.2431,17.4231,-32.5125,-25.0833,#1abc9c
24.9071,3.5069,40.3088,-38.3354,#a121dd
8.7647,7.0894,23.1768,19.0302,#121159
8.8409,11.9629,1.3567,16.7861,#1abc9c
